,DATE,PCND,DFND,PCSV,DFSV,nd.real,sv.real,c.real,c.lag,c.g
178,01-04-1991,1021.765,64.871,2429.918,56.685,15.75072066,42.86703714,58.6177578,58.10427571,0.008798431
179,01-07-1991,1024.392,64.928,2464.541,57.244,15.77735338,43.05326322,58.8306166,58.6177578,0.003624725
180,01-10-1991,1020.699,65.255,2501.877,57.768,15.64169795,43.30904653,58.95074449,58.8306166,0.002039846
181,01-01-1992,1037.668,65.367,2566.552,58.306,15.87449325,44.01866017,59.89315342,58.95074449,0.015859942
182,01-04-1992,1047.218,65.692,2607.453,58.777,15.94133228,44.36179118,60.30312345,59.89315342,0.006821703
183,01-07-1992,1061.049,66.165,2653.829,59.196,16.03640898,44.8312217,60.86763068,60.30312345,0.009317617
184,01-10-1992,1074.81,66.358,2709.331,59.769,16.19714277,45.33003731,61.52718008,60.86763068,0.010777512
185,01-01-1993,1079.129,66.558,2742.534,60.272,16.21336278,45.50262145,61.71598423,61.52718008,0.003063931
186,01-04-1993,1086.326,66.474,2784.412,60.885,16.34211872,45.73231502,62.07443374,61.71598423,0.005791248
187,01-07-1993,1092.528,66.198,2838.023,61.346,16.50394272,46.26255991,62.76650262,62.07443374,0.011087324
188,01-10-1993,1105.275,66.508,2873.579,61.715,16.61867745,46.56208377,63.18076122,62.76650262,0.00657831
189,01-01-1994,1116.845,66.316,2915.554,62.105,16.84126003,46.94555994,63.78681997,63.18076122,0.009546742
190,01-04-1994,1128.094,66.458,2956.348,62.528,16.97454031,47.28038639,64.2549267,63.78681997,0.007311816
191,01-07-1994,1149.581,67.146,2993.87,62.903,17.12061776,47.59502726,64.71564502,64.2549267,0.00714458
192,01-10-1994,1163.01,67.216,3031.873,63.325,17.30257677,47.87797868,65.18055545,64.71564502,0.007158214
193,01-01-1995,1166.854,67.197,3074.329,63.772,17.36467402,48.2081321,65.57280611,65.18055545,0.005999874
194,01-04-1995,1176.984,67.449,3129.711,64.282,17.44998443,48.68720637,66.1371908,65.57280611,0.008570164
195,01-07-1995,1183.691,67.594,3172.427,64.686,17.51177619,49.043487,66.55526319,66.1371908,0.006301395
196,01-10-1995,1191.651,67.699,3211.762,65.126,17.60219501,49.31612566,66.91832067,66.55526319,0.005440153
197,01-01-1996,1211.173,68.365,3259.617,65.448,17.71627295,49.80468464,67.52095758,66.91832067,0.008965251
198,01-04-1996,1239.541,69.079,3304.626,65.973,17.94381795,50.09058251,68.03440046,67.52095758,0.007575434
199,01-07-1996,1246.505,68.976,3348.618,66.49,18.07157562,50.36273124,68.43430686,68.03440046,0.005860795
200,01-10-1996,1268.285,69.618,3394.838,67.033,18.21777414,50.64427968,68.86205382,68.43430686,0.006231022
201,01-01-1997,1281.017,69.897,3446.497,67.454,18.32721004,51.09403445,69.42124449,68.86205382,0.008087654
202,01-04-1997,1277.72,69.686,3496.96,67.928,18.33539018,51.480391,69.81578118,69.42124449,0.005667138
203,01-07-1997,1297.345,69.643,3559.055,68.318,18.62850538,52.09542141,70.72392679,69.81578118,0.012923867
204,01-10-1997,1307.821,69.717,3618.627,68.708,18.75899709,52.66674914,71.42574623,70.72392679,0.009874453
205,01-01-1998,1306.679,69.16,3676.961,69.019,18.89356564,53.27462003,72.16818568,71.42574623,0.010340911
