Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
197206,0.984916604,13.99149732,8.772837242,3.850905167,1.157560026,5.378197854,-10.35313957,7.514020574,-0.568413497,-3.793499413,-4.540498984,-6.595671961,4.463171248,6.565139259,-8.139141669,-4.10442305,2.393636322,-17.06459816,2.138248176,-4.478982256,-2.477548998,-7.59146924,2.022550784,1.226149513,-6.27997412,-1.419250955,-4.183614383,6.254653848,-3.20240129,-4.179294419
197209,0.853000573,2.747193668,-14.70393509,-9.160833996,-7.232468152,1.9251728,-7.100818847,3.734565035,2.32342604,-8.961080972,-4.347585002,0.088838668,2.60540514,-5.780660614,2.120624893,1.146094595,-3.554062458,-16.26783879,11.32479502,6.193780355,10.48275278,-5.235539983,2.763382535,1.068848814,-9.782648508,-6.520112002,-2.832315875,-10.09511038,4.749794524,-1.962929153
197212,10.31918069,0.059087901,5.376668584,10.33389453,3.028610528,6.901473184,5.403081524,4.727934465,7.155026014,8.794005463,4.987993701,4.860078848,4.84781444,5.562429834,6.30093208,2.461589742,7.084655409,6.386450197,10.69957371,11.84327691,11.05712022,1.283435166,1.139617407,9.720060416,4.42338255,2.749336592,8.286429174,14.89694854,5.595683904,0.591236992
197303,-7.673052553,-2.668011335,-0.387541667,-26.54305738,-13.14344441,-6.27460922,-19.84069366,-1.116298652,-2.251437411,-15.11601842,-16.15137901,0.827472896,-11.60136292,-11.53869457,-14.21596693,-12.99153556,6.885372894,14.52843955,0.2905253,-8.20187047,-6.16693865,-17.46023653,-2.042273958,-6.095099747,-13.07014237,-18.28882769,-15.29402733,-17.01009563,-13.52545294,-10.12926772
197306,-8.071125373,-6.669262538,-7.424781194,-22.89296412,-18.52514084,-4.576724125,-25.78371111,-4.449529727,-6.176861542,-16.85033984,-10.12500861,-8.78160197,-10.63806681,-5.458986309,-11.66508693,-18.61514493,-0.248470419,-20.3028769,-2.80012195,-2.686602426,-0.307264883,-22.8823974,-8.936821152,-3.938221204,-22.54682333,-19.13748874,-14.35066622,-29.32031953,-8.720245,-18.33850955
197309,10.82018969,2.885019959,-1.01733544,18.67931955,14.82033248,-1.097913808,14.1639776,0.271216736,16.16458285,12.18796776,21.61375653,18.93172792,24.61636727,12.92912216,9.926672153,18.78662894,19.42260539,10.48101152,5.523117862,3.119977129,3.117909436,25.27246857,-2.563403765,16.05281412,16.39035098,25.3910373,11.77986514,27.65789609,14.46477892,10.13481932
197312,-15.55001914,-10.74014702,-6.200595345,-33.69479527,-23.58365717,-15.48442917,-36.16819299,-10.28970884,-10.94335267,-25.55524333,-17.02455846,1.89342479,-7.908550997,-22.10617136,-29.43456164,-15.89768455,10.28892659,8.393711637,7.222228724,-11.68535955,-3.16723659,-21.79404525,-11.65377132,-11.0506079,-8.598347868,-21.02134196,-21.09546688,-32.60175398,-11.94488767,-14.1301758
197403,-0.245910453,-4.699335724,-1.3792561,11.847475,-0.018568678,-6.147438516,10.39963319,-2.554003948,5.703795162,14.40490249,8.607023089,5.632301154,-7.685634372,-4.824885042,11.46603363,5.403523087,0.21508824,16.76505536,-12.19066849,1.026873055,1.960541472,-2.225518208,-2.091970691,0.478872192,3.206401872,9.759794655,4.298830698,0.204540938,-3.316346934,-2.458162869
197406,-6.840692176,-10.95760856,2.151831215,-12.31798324,-6.356990089,-3.716031762,-14.04534105,-3.192332771,1.262478611,-9.374435534,-16.56286371,-5.977207473,-10.04413162,-17.03107248,-3.260295136,-9.672537253,-13.25040929,-11.71104828,-13.47531001,-21.63685181,-6.469535864,-22.4303593,-10.12230339,-4.770462748,-9.727373932,-9.684543456,-1.977279876,-12.82521255,-21.91040656,-17.30914159
197409,-32.592585,-39.27136637,-20.44736661,-31.5123131,-22.73029395,-37.0654642,-17.75273006,-33.30961036,-23.36139146,-18.70415033,-25.78304516,-12.09879856,-26.10873275,-28.66732358,-22.87822194,-22.56862566,-17.27049933,-15.70546718,-16.30877192,-9.132263487,-11.18483728,-24.43920196,-28.02310955,-25.80275712,-23.56240472,-22.92645691,-34.04792582,-36.8823757,-23.93629254,-25.72882937
197412,17.0008082,-2.804278938,26.09058057,-5.178563908,-4.853706588,4.690045809,-10.93370232,23.65331389,2.131122263,-12.14228417,2.966306778,4.06624103,14.47607105,3.854238566,-8.331962145,2.92627104,7.392029436,52.69865339,16.48916479,11.89400685,9.11130334,8.097650804,3.453062732,0.852624198,4.326157037,9.041875813,-1.268733194,-0.19680681,15.37927475,11.53184882
